ID;Startzeit;Fertigstellungszeit;E-Mail;Name;"Wie ist Ihre Probanden-ID?
";"Wie ist ihr Alter?
";Geschlecht;"Dominante Hand
";"Wie ist Ihre bisherige Erfahrungen mit immersiven Geräten? 
";"Wie ist ihre bisherige Erfahrung mit Controllern, z. B. VR-Controller, XBox, Wii oder Playstation-Controller?
";Wie einfach war es immersive Technologie zu nutzen?;"Wie einfach war es die AR zu benutzen?
";Wie einfach war es die VR zu benutzen?;"Was hat mir besonders gut an den immersiven Technologien gefallen?
";"Was war problematisch bei der Benutzung?
";"Ich könnte mir vorstellen, bei meiner täglichen Arbeit ausschließlich immersive Technologie zu  benutzen und damit auf PC, Smartphone und Tablet zu verzichten.
";"Ich fühle mich bei der Verwendung von immersiven Technologien unsicher, weil ...
";"Was würde mich von der erneuten Nutzung eines immersiven Geräts abhalten?
";Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.;Ich empfinde das System als unnötig komplex.;Ich empfinde das System als einfach zu nutzen.;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.;Ich finde, dass es im System zu viele Inkonsistenzen gibt.;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.;Ich empfinde die Bedienung als sehr umständlich.;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.;Column;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.2;Ich empfinde das System als unnötig komplex.2;Ich empfinde das System als einfach zu nutzen.2;Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.2;Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.2;Ich finde, dass es im System zu viele Inkonsistenzen gibt.2;Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.2;Ich empfinde die Bedienung als sehr umständlich.2;Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.2;Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.2;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88
3;2.8.23 12:25:33;2.8.23 12:40:35;anonymous;;A01;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;7;3;8;Interaktion mit den Händen, 3D Perspektive auf die Objekte und Optionen;Gesten lernen (welcher Button für was, AirTap);Nein;Die Elemente teils anders reagieren als am PC, zB Checkbox beim Aktivieren kein Häkchen zeigt;Nichts;Ja;Eher ja;Eher nein;Ich weiß nicht;Eher nein;Eher nein;Ja;Eher ja;Eher ja;Eher ja;;;;übersichtlich;;;;;behindernd;einfach;ineffizient;;;;;;;kompliziert;ineffizient;verwirrend;;interessant;originell;neuartig;unterstützend;einfach;effizient;übersichtlich;langweilig;;konventionell;herkömmlich;behindernd;;ineffizient;;;uninteressant;originell;neuartig;Ja;Nein;Ja;Eher nein;Ja;Eher nein;Ja;Eher nein;Ja;Ja;unterstützend;;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;konventionell;herkömmlich;;;;übersichtlich;spannend;interessant;originell;neuartig;unterstützend;einfach;effizient;übersichtlich;langweilig;uninteressant;konventionell;herkömmlich;behindernd;kompliziert;ineffizient;;langweilig;uninteressant;konventionell;herkömmlich;unterstützend;;;übersichtlich;;;originell;
4;2.8.23 14:25:25;2.8.23 14:49:24;anonymous;;A02;18-25;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;8;6;8;"Die Tutorials am Anfang sind sehr wichtig um die Bedienung zu lernen; das es keine ungewohnten Gesten sind um mit der AR/VR zu interagieren; wie gut es mit der Außenwelt zu vereinbaren ist (eher bei AR);";"Die Sensitivität, wodurch manchmal die Verfehlungen von Objekten passierte; Die Orientierung, die manchmal verloren geht; VR: wie sehr man sich in diese Realität versetzt und es nicht viel mit dem außen zu tun hat; der Tragekomfort, der nicht sehr alltagstauglich ist";Nicht ausschließlich, jedoch integrierbar ;Da es noch nicht viele Menschen in meinem Umfeld benutzen, da die Dystopien (auch wenn sie sehr überspitzt sind) und der damit einhergehende Realitätsverlust schon groß ist;Im Alltag: der Tragekomfort, zu spielerischen Anwendungen: nichts;Eher ja;Eher nein;Eher ja;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;;einfach;;übersichtlich;spannend;interessant;;herkömmlich;;;;;spannend;interessant;;;unterstützend;;;;spannend;interessant;;neuartig;;einfach;effizient;;;;;;unterstützend;;;;;;;;Eher ja;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Nein;;;effizient;;langweilig;;;;;einfach;effizient;;spannend;interessant;konventionell;herkömmlich;unterstützend;;effizient;;spannend;interessant;;;;einfach;effizient;;langweilig;;;;unterstützend;einfach;effizient;übersichtlich;langweilig;;;;;;;;;;originell;neuartig
5;2.8.23 15:21:46;2.8.23 15:44:36;anonymous;;A03;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;9;6;9;Sehr intuitiv/ auf kurze Distanz mit Controller sehr präzise ;Teilweise geringe Bildauflösung / präzise Bewegungen in großer Distanz schwierig ;Mit dem aktuellen Stand nein / bei einer optimierten Technik evt.;;Schwindel / Unwohlsein bei längerer Benutzung;Ja;Eher ja;Eher nein;Eher nein;Ich weiß nicht;Eher ja;Ich weiß nicht;Eher ja;Eher ja;Eher nein;;;;;;;konventionell;herkömmlich;unterstützend;;effizient;;;;;;;;;;;;;;unterstützend;einfach;;;;interessant;;;unterstützend;einfach;effizient;übersichtlich;;;;;Ja;Eher nein;Ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher ja;unterstützend;einfach;effizient;übersichtlich;;;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;;;;;;;;;;;unterstützend;einfach;effizient;;;;;;unterstützend;einfach;;;;;;;unterstützend;einfach;effizient;;spannend;interessant;originell;neuartig
6;2.9.23 10:00:20;2.9.23 10:12:55;anonymous;;A05;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;8;8;7;Gestensteuerung (sowohl mit als auch ohne Controller), mehr Freiheitsgrade als beim Tippen auf Tastatur, graphische Möglichkeiten;Kontrast zur Umgebung bei AR-Brille, teilweise fehlendes haptisches Feedback;Nein;;;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Nein;Eher ja;Nein;Ja;Nein;;;;;;;;;;;;;;;;;;einfach;effizient;übersichtlich;;;;;;einfach;effizient;;;;;;;;effizient;;;;;;;;;;;;originell;neuartig
7;2.9.23 11:39:05;2.9.23 12:04:32;anonymous;;A06;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;7;6;8;Qualität;Gefühl für die Technik bekommen;Nein;Ich noch nicht so viel Erfahrung damit habe;Nichts ;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Ich weiß nicht;Eher ja;Eher nein;Eher ja;Eher nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;unterstützend;einfach;effizient;übersichtlich;;;;;;;;;;;;;;;effizient;;spannend;interessant;originell;neuartig;;einfach;effizient;übersichtlich;spannend;;;;unterstützend;;;;;;;;unterstützend;;effizient;;;;originell;neuartig
8;2.9.23 14:02:30;2.9.23 14:14:07;anonymous;;A07;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;8;9;7;AR;Eyebox, vor allem das weiße Feld, Transparenz der Objekte bei Gegenlicht (AR), leichter Schwindel (VR);Nein;-;-;Ich weiß nicht;Nein;Eher ja;Nein;Eher ja;Nein;Ja;Eher nein;Eher ja;Eher nein;unterstützend;;effizient;;;;;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;;;unterstützend;;;;;;;;unterstützend;einfach;;übersichtlich;;interessant;;;unterstützend;;effizient;;;;;neuartig;Ich weiß nicht;Eher nein;Eher ja;Nein;Ja;Nein;Ja;Eher nein;Eher ja;Nein;unterstützend;;effizient;;;;;;unterstützend;;effizient;übersichtlich;;interessant;originell;;unterstützend;einfach;effizient;übersichtlich;spannend;interessant;originell;;;;;;;;;;unterstützend;einfach;effizient;übersichtlich;;;;neuartig;unterstützend;;effizient;;;;originell;neuartig
9;2.9.23 15:02:37;2.9.23 15:21:12;anonymous;;A08;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;9;9;8;Steuerung durch Gesten;Teilweise mussten Dinge mehrmals gemacht werden zB Button drücken hat nicht beim ersten Mal registriert;Nicht ausschließlich, da auf Dauer anstrengend;Man teilweise die Zeit vergisst;Motion sickness/ koofschmerzen;Ich weiß nicht;Nein;Eher ja;Nein;Ja;Eher nein;Eher ja;Nein;Ja;Nein;unterstützend;einfach;;übersichtlich;;;konventionell;herkömmlich;;;;übersichtlich;;uninteressant;konventionell;herkömmlich;;;;;;;;;;;;;;;;;;;;;;;;;Ich weiß nicht;Eher nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Nein;Ja;Nein;unterstützend;einfach;;übersichtlich;;;konventionell;herkömmlich;;;effizient;;;;;;;einfach;;übersichtlich;;;;;;einfach;effizient;;;;;;unterstützend;einfach;effizient;übersichtlich;;interessant;;;;;;;;interessant;;
11;2.9.23 16:59:43;2.9.23 17:16:49;anonymous;;A09;30-40;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;8;3;8;VR: Gefühl abzutauchen, ganz andere Welten erleben;geringes FOV bei Hololense;Nein;nicht unsicher ;Kopfschmerzen, Anstrengung ;Eher nein;Eher nein;Eher nein;Nein;Eher nein;Eher nein;Eher nein;Eher ja;Eher nein;Nein;;;;;langweilig;uninteressant;;;behindernd;kompliziert;ineffizient;verwirrend;;;konventionell;;;;;;;;;;behindernd;kompliziert;ineffizient;;;;;;;;;;;;;;Eher ja;Eher nein;Ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;;;;;;uninteressant;;;unterstützend;einfach;effizient;übersichtlich;;interessant;;;;kompliziert;;;;;;;;;;;;;;;;;;;;;;;unterstützend;;effizient;;;;;
12;2.10.23 10:29:13;2.10.23 10:43:31;anonymous;;A10;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;5;3;7;Mit ein bisschen Erfahrung kommt man damit schneller voran ;Kein habtisches Feedback ;Nein;;Wenn ich mit dem PC schneller bin;Eher nein;Eher nein;Eher nein;Nein;Eher ja;Eher nein;Eher nein;Eher nein;Ich weiß nicht;Eher nein;;;;;;;;;;;;übersichtlich;;;;;;;;;;;;;;;;;;;;;;;ineffizient;;;;;;Eher nein;Nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;unterstützend;;;;;;;
13;2.10.23 11:28:37;2.10.23 11:47:14;anonymous;;A11;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;7;9;7;Abtauchen in andere Realitäten;Zittrige Hände;Nein;;;Eher ja;Nein;Ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Ja;Eher nein;unterstützend;einfach;effizient;übersichtlich;;;;herkömmlich;unterstützend;einfach;effizient;übersichtlich;;;;herkömmlich;;einfach;effizient;übersichtlich;;;;herkömmlich;unterstützend;einfach;effizient;übersichtlich;;;;herkömmlich;;;;;;;;;Eher ja;Nein;Eher ja;Nein;Eher ja;Eher nein;Eher ja;Eher nein;Eher ja;Eher nein;;;;;;;;;unterstützend;einfach;effizient;übersichtlich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;unterstützend;;effizient;;spannend;interessant;;neuartig
