ID;Age;gender;dominantHand;immersiveExperience;gamingExperience;;dominantHand
A01;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A02;18-25;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;;rechts
A03;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A05;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A06;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A07;25-30;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A08;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A09;30-40;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;;rechts
A10;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A11;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A12;30-40;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;;rechts
A13;30-40;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A14;25-30;männlich;rechts;Mehr als 10 Stunden;Mehr als 10 Stunden;;rechts
A15;25-30;männlich;links;Bis zu 10 Stunden;Bis zu 10 Stunden;;links
A16;18-25;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;;rechts
A18;18-25;männlich;rechts;keinerlei Erfahrung;Mehr als 10 Stunden;;rechts
A04;18-25;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;;rechts
A19;40-50;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;;rechts
A20;40-50;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A21;18-25;männlich;rechts;Bis zu 10 Stunden;Mehr als 10 Stunden;;rechts
A22;18-25;weiblich;rechts;keinerlei Erfahrung;Mehr als 10 Stunden;;rechts
A24;30-40;weiblich;rechts;keinerlei Erfahrung;keinerlei Erfahrung;;rechts
A26;30-40;weiblich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;;rechts
A25;40-50;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A28;30-40;männlich;links;Mehr als 10 Stunden;Mehr als 10 Stunden;;links
A27;30-40;männlich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A23;25-30;weiblich;rechts;Bis zu 10 Stunden;Bis zu 10 Stunden;;rechts
A17;40-50;männlich;rechts;keinerlei Erfahrung;Bis zu 10 Stunden;;rechts
